"year"	"year_bce"	"intercalary"	"begins"	"ends"	"length"	"solstice"	"months"	"month_lengths"	"prytanies"
-339	"340/339 BCE"	"O"	"BCE 0340-Jul-19"	"BCE 0339-Jul-08"	355	"BCE 0340-Jun-27"	"Jul-19 Aug-18 Sep-17 Oct-17 Nov-15 Dec-15 Jan-13 Feb-12 Mar-13 Apr-12 May-11 Jun-09"	"FFFhFhFhFhhF"	"Jul-19 Aug-24 Sep-29 Nov-04 Dec-10 Jan-14 Feb-18 Mar-25 Apr-29 Jun-03"
-338	"339/338 BCE"	"O"	"BCE 0339-Jul-09"	"BCE 0338-Jun-27"	354	"BCE 0339-Jun-28"	"Jul-09 Aug-07 Sep-06 Oct-06 Nov-04 Dec-04 Jan-03 Feb-01 Mar-03 Apr-01 May-01 May-30"	"hFFhFFhFhFhh"	"Jul-09 Aug-14 Sep-19 Oct-25 Nov-30 Jan-04 Feb-08 Mar-15 Apr-19 May-24"
-337	"338/337 BCE"	"I"	"BCE 0338-Jun-28"	"BCE 0337-Jul-15"	384	"BCE 0338-Jun-28"	"Jun-28 Jul-28 Aug-26 Sep-25 Oct-24 Nov-23 Dec-23 Jan-22 Feb-20 Mar-21 Apr-19 May-19 Jun-17"	"FhFhFFFhFhFhh"	"Jun-28 Aug-06 Sep-14 Oct-23 Dec-01 Jan-08 Feb-15 Mar-24 May-01 Jun-08"
-336	"337/336 BCE"	"O"	"BCE 0337-Jul-16"	"BCE 0336-Jul-05"	355	"BCE 0337-Jun-27"	"Jul-16 Aug-15 Sep-13 Oct-12 Nov-11 Dec-11 Jan-10 Feb-08 Mar-10 Apr-09 May-08 Jun-07"	"FhhFFFhFFhFh"	"Jul-16 Aug-21 Sep-26 Nov-01 Dec-07 Jan-11 Feb-15 Mar-22 Apr-26 May-31"
-335	"336/335 BCE"	"I"	"BCE 0336-Jul-06"	"BCE 0335-Jul-24"	384	"BCE 0336-Jun-27"	"Jul-06 Aug-04 Sep-03 Oct-02 Oct-31 Nov-30 Dec-30 Jan-28 Feb-27 Mar-29 Apr-28 May-27 Jun-25"	"hFhhFFhFFFhhF"	"Jul-06 Aug-14 Sep-22 Oct-31 Dec-09 Jan-16 Feb-23 Apr-02 May-10 Jun-17"
-334	"335/334 BCE"	"O"	"BCE 0335-Jul-25"	"BCE 0334-Jul-13"	354	"BCE 0335-Jun-28"	"Jul-25 Aug-23 Sep-22 Oct-21 Nov-19 Dec-19 Jan-18 Feb-16 Mar-18 Apr-17 May-16 Jun-15"	"hFhhFFhFFhFh"	"Jul-25 Aug-30 Oct-05 Nov-10 Dec-16 Jan-20 Feb-24 Mar-31 May-05 Jun-09"
-333	"334/333 BCE"	"O"	"BCE 0334-Jul-14"	"BCE 0333-Jul-02"	355	"BCE 0334-Jun-28"	"Jul-14 Aug-13 Sep-11 Oct-11 Nov-09 Dec-09 Jan-07 Feb-06 Mar-06 Apr-05 May-04 Jun-03"	"FhFhFhFhFhFF"	"Jul-14 Aug-19 Sep-24 Oct-30 Dec-05 Jan-09 Feb-13 Mar-19 Apr-23 May-28"
-332	"333/332 BCE"	"I"	"BCE 0333-Jul-03"	"BCE 0332-Jul-20"	383	"BCE 0333-Jun-27"	"Jul-03 Aug-01 Aug-31 Sep-29 Oct-29 Nov-27 Dec-27 Jan-25 Feb-24 Mar-25 Apr-23 May-23 Jun-22"	"hFhFhFhFhhFFh"	"Jul-03 Aug-11 Sep-19 Oct-28 Dec-06 Jan-13 Feb-20 Mar-30 May-07 Jun-14"
-331	"332/331 BCE"	"O"	"BCE 0332-Jul-21"	"BCE 0331-Jul-09"	354	"BCE 0332-Jun-27"	"Jul-21 Aug-20 Sep-19 Oct-18 Nov-17 Dec-16 Jan-15 Feb-13 Mar-15 Apr-13 May-12 Jun-11"	"FFhFhFhFhhFh"	"Jul-21 Aug-26 Oct-01 Nov-06 Dec-12 Jan-16 Feb-20 Mar-27 May-01 Jun-05"
-330	"331/330 BCE"	"O"	"BCE 0331-Jul-10"	"BCE 0330-Jun-29"	355	"BCE 0331-Jun-28"	"Jul-10 Aug-09 Sep-08 Oct-07 Nov-06 Dec-06 Jan-04 Feb-03 Mar-04 Apr-03 May-02 May-31"	"FFhFFhFhFhhF"	"Jul-10 Aug-15 Sep-20 Oct-26 Dec-01 Jan-05 Feb-09 Mar-16 Apr-20 May-25"
